Adaptive Computing Research Lab,acrl,Faculty,COM1
Add Value Machine (Block ADM),ezlink,null,Block ADM
Algorithms Research Lab,arl,Faculty,COM1
Alice Lee Centre for Nursing Studies,cns,Faculty,E3A
Animal Holding Unit,ahu,null,MD1
Antenatal Diagnostic Centre,adc,null,MD4
Architectural Studios,null,Faculty,SDE3
AS1,null,Faculty,AS1
AS2,null,Faculty,AS2
AS3,null,Faculty,AS3
AS4,null,Faculty,AS4
AS5,null,Faculty,AS5
AS6,null,Faculty,AS6
AS7,null,Faculty,AS7
Asia Research Institute (ARI),ari,null,"Tower Block, BTC"
Association of Pacific Rim Universities,apru,null,Shaw Foundation Alumni House
AXS Stations (Block ADM),null,null,Block ADM
AXS Stations (LT27),null,null,Lecture Theatre 27
Bachelor of Technology Programme,null,Faculty,EA
Bio-Sciences Complex,bsc,null,S16
Bioinformatics Centre,null,Faculty,MD7
BIZ1,null,Faculty,BIZ1
BIZ2,null,Faculty,BIZ2
Bukit Timah Campus Management Office,null,null,"Block B, BTC"
Burger King,null,null,The Deck
Business School (Dean&apos;s Office),null,Faculty,BIZ1
Cancer Science Institute of Singapore,csi,null,Centre for Life Sciences
Central Library,cl,null,Central Library
Central Square Canteen,yih canteen,Canteen,Central Square
Centre for Advanced Chemical Engineering,cace,null,E5
Centre for Advanced Computations in Engineering Science (ACES),caces,null,EA
Centre for Biomedical Ethics,cbe,null,MD11
Centre for Construction Materials and Technology,caces,null,E1A
Centre for Design Technology,cdt,null,E4
Centre for Development of Teaching &amp; Learning,cdtl,null,Central Library Annexe
Centre for e-Business,ceb,null,COM2
Centre for English Language Communication,celc,null,CELC
Centre for Environmental and Occupational Health Research,ceohr,null,MD3
Centre for Industrial Mathematics,cim,null,S14
Centre for Instructional Technology (Central Library Annexe),cit,null,Central Library Annexe
Centre for Instructional Technology (Computer Centre),cit,null,Computer Centre
Centre for Instructional Technology (House 11),cit,null,House 11
Centre for Integrated Circuit Failure Analysis and Reliability,cicfar,null,E3
Centre for Intelligent Control,cic,null,EA
Centre for Intelligent Products and Manufacturing Systems,cipms,null,EA
Centre for International Law (CIL),cil,null,"Block B, BTC"
Centre for Ion Beam Applications,ciba,null,S7
Centre for Language Studies,cls,Faculty,AS4
Centre for Maritime Studies (CMS),cms,null,Centre for Maritime Studies
Centre for Microwave and Radio Frequency,cmrf,null,E4
Centre for Molecular Epidemiology,cme,null,MD3
Centre for Offshore Research &amp; Engineering,core,null,E1A
Centre for Optoelectronics,co,null,E3
Centre for Power Electronics,cpe,null,E3
Centre for Project Management &amp; Construction Law,cpmcl,null,SDE2
Centre for Quantum Technologies,cqt,null,S15
Centre for Real Estate Studies,cres,null,SDE1
"Centre for Remote Imaging, Sensing and Processing (CRISP)",crisp,null,S17
Centre for Soft-ground Engineering,cse,null,E1
Centre for Superconducting and Magnetic Materials,csmm,null,S12
Centre for Total Building Performance,ctbp,null,SDE1
Centre for Transportation Research,ctr,null,E1A
Centre for Wavelets Approximation &amp; Information Processing,cwaip,null,S13
"Chemical, Molecular and Materials Analysis Centre",cmmac,null,S8
"Citibank ATM (Blk ADM, 4th floor, Walkway linking AS1 and AS6)",null,null,Block ADM
Cheers Convenience Store,null,null,Cheers Convenience Store
Clinic for Human Reproduction,chr,null,NUH
Coffee Club Express,null,null,Coffee Club Express
Coffee Grounds,null,null,Coffee Grounds
COM1,null,Faculty,COM1
COM2,null,Faculty,COM2
Communications &amp; New Media Programme,cnmp,Faculty,AS6
Computational Biology Research Lab,cbrl,Faculty,COM1
Computational Linguistics Research Lab,clrl,Faculty,AS6
Computer Centre,cc,Admin,Computer Centre
Computer Vision Research Lab,cvrl,Faculty,AS6
Data Storage Institute,dsi,null,Data Storage Institute
Database Research Lab 1,drl1,Faculty,COM1
Database Research Lab 2,drl2,Faculty,COM1
DBS / POSBank ATMs (Yusof Ishak House),null,null,Yusof Ishak House
DBS / POSBank ATMs (Block ADM),null,null,Block ADM
DBS / POSBank ATMs (LT27),null,null,Lecture Theatre 27
DBS / POSBank Cash Deposit Machine (Yusof Ishak House),null,null,Yusof Ishak House
Dental Centre,null,Faculty,NUH
Department of Accounting,accounting,Faculty,BIZ1
Department of Anaesthesia,anaesthesia,Faculty,NUH
Department of Anatomy,anatomy,Faculty,MD10
Department of Architecture,architecture,Faculty,SDE1
Department of Biochemistry,biochemistry,Faculty,MD7
